sample_id,replicate,start_quant,std_type,dilution,bd_load
RKS3354,1,0,genomic,1,0
RKS14131,1,0.07,genomic,1,336.00000000000006
DESO1475,1,0.03,genomic,1,144
RKS14384,1,0,genomic,1,0
RKS14173,1,0,genomic,1,0
OAZ1032,1,0,genomic,1,0
RKS9460,1,0.01,genomic,1,48
RKS9293,1,117.33,genomic,1,563184
RKS18128,1,0,genomic,1,0
SFZ2015,1,0,genomic,1,0
OAZ1430,1,0,gblock,1,0
RKS16212,1,0,genomic,1,0
RKS21439,1,13301.0605,gblock,1,1064084.84
RKS2169,1,0.19,genomic,1,912
RKS7463,1,0.07,genomic,1,336.00000000000006
RKS14166,1,0,genomic,1,0
RKS20795,1,0,gblock,1,0
RKS2696,1,0,genomic,1,0
RKS19395,1,31.0714,genomic,1,149142.72
DESO2437,1,0.89,genomic,1,4272
RKS15608,2,0,genomic,1,0
RKS14604,1,0,genomic,1,0
SFZ2402,1,0,genomic,1,0
SFZ1394,1,1.1089,genomic,1,5322.72
RKS4424,1,445.73,genomic,1,2139504
RKS20734,1,0,gblock,1,0
RKS6744,1,0,genomic,1,0
RKS13286,1,10.6,genomic,1,50880
RKS13479,2,0,genomic,1,0
RKS18722,1,2.1618,genomic,1,10376.64
RKS17365,1,0,genomic,1,0
RKS14645,1,0,genomic,1,0
RKS12314,1,43.79,genomic,1,210192
RKS15217,2,0,genomic,1,0
SFZ1289,1,0,genomic,1,0
RKS17050,1,0,genomic,1,0
RKS2822,1,0.53,genomic,1,2544
RKS15246,1,0,genomic,1,0
RKS18198,1,0.6,genomic,1,2880
RKS5787,1,0,genomic,1,0
RKS14935,1,0,genomic,1,0
RKS12197,1,1.39,genomic,1,6671.999999999999
RKS13790,1,0,genomic,1,0
DESO1007,1,0.07,genomic,1,336.00000000000006
RKS9322,1,0.41,genomic,1,1967.9999999999998
RKS21686,1,986.9529,gblock,1,78956.232
RKS9387,1,0,genomic,1,0
RKS3822,2,0,genomic,1,0
RKS2284,1,28.51,genomic,1,136848
RKS21819,1,38413.9961,gblock,1,3073119.688
RKS6431,1,0.2,genomic,1,960
RKS027,1,0,genomic,1,0
RKS8689,1,75.06,genomic,1,360288
RKS8661,1,4.69,genomic,1,22512.000000000004
SFZ1042,1,0,genomic,1,0
RKS11570,1,0,genomic,1,0
SFZ1565,1,3.525,genomic,1,16920
RKS3993,4,0,genomic,1,0
RKS2547,2,1.64,genomic,1,7871.999999999999
RKS3070,1,208.66,genomic,1,1001568
RKS20714,1,52871.1464,gblock,1,4229691.712
RKS19774,2,64020,gblock,1,5121600
RKS1320,1,0,genomic,1,0
DESO1954,1,1.54,genomic,1,7392
RKS15145,1,0,genomic,1,0
RKS16223,1,0,genomic,1,0
DESO1479,1,0.95,genomic,1,4560
DESO2668,1,0.31,genomic,1,1488
